x,y0,y1,y2,y3,y4,y5
9982,436,70,-4288,71,3,-6
9992,420,71,-4259,75,7,-5
10002,407,63,-4269,78,1,-5
10012,427,81,-4273,78,-4,-8
10023,414,65,-4253,82,-3,-6
10033,415,68,-4302,82,-2,-4
10043,419,54,-4253,82,0,-5
10053,422,68,-4274,81,-2,-4
10062,423,71,-4286,80,3,-3
10072,428,71,-4259,75,6,-1
10082,420,71,-4283,71,13,-1
10092,404,58,-4266,66,20,-2
10103,428,74,-4284,63,19,0
10113,410,55,-4292,56,22,-1
10121,418,56,-4271,53,20,0
10133,412,60,-4256,47,25,4
10141,400,70,-4241,44,26,0
10152,418,62,-4244,37,25,2
10162,416,59,-4262,32,24,-1
10172,429,77,-4260,34,26,1
10182,431,82,-4238,36,27,1
10193,409,71,-4259,42,18,4
10201,418,60,-4282,48,11,3
10211,414,79,-4275,53,7,8
10221,412,62,-4260,49,8,5
10232,397,54,-4297,41,7,6
10242,410,43,-4276,39,4,4
10252,391,61,-4252,37,4,4
10262,396,86,-4275,35,5,2
10273,433,72,-4280,30,4,1
10283,408,56,-4238,24,4,2
10291,408,60,-4263,22,5,1
10301,423,61,-4273,22,10,2
10311,441,75,-4302,20,13,2
10322,424,73,-4274,22,13,3
10332,442,56,-4308,19,15,2
10342,427,69,-4251,19,15,1
10352,425,54,-4227,34,8,0
10363,404,52,-4274,42,3,1
10371,403,48,-4273,45,3,1
10381,425,56,-4236,48,7,1
10391,413,58,-4294,54,2,2
10402,428,62,-4303,57,5,1
10412,432,62,-4283,55,5,4
10422,429,66,-4258,54,5,4
10430,423,50,-4277,52,6,3
10440,408,55,-4267,47,8,3
10451,422,53,-4259,42,11,2
10461,417,60,-4244,34,12,0
10471,417,51,-4275,35,14,-1
10481,411,47,-4258,41,12,-1
10492,417,54,-4299,40,10,1
10502,424,48,-4290,36,11,-2
10510,430,68,-4251,35,11,0
10520,431,54,-4290,35,12,1
10531,409,47,-4253,35,8,-2
10541,423,57,-4249,34,-2,-1
10551,427,82,-4249,43,-6,-3
10561,407,80,-4315,44,-14,-4
10572,416,39,-4253,46,-14,-1
10582,427,58,-4254,52,-18,3
10592,438,70,-4255,59,-31,2
10600,419,36,-4268,62,-39,3
10610,401,62,-4247,59,-43,4
10621,423,61,-4282,53,-41,3
10631,418,63,-4269,47,-36,2
10641,419,63,-4236,41,-35,3
10651,401,63,-4274,41,-44,-1
10660,400,58,-4251,40,-53,1
10670,403,53,-4233,52,-68,3
10680,399,61,-4273,65,-83,8
10690,395,61,-4257,79,-97,9
10701,414,34,-4240,93,-109,4
10711,416,33,-4290,93,-114,12
10721,406,60,-4274,91,-108,9
10731,414,67,-4298,87,-100,7
10739,385,56,-4267,87,-97,7
10750,394,37,-4262,93,-94,7
10760,375,57,-4244,104,-100,11
10770,387,28,-4244,109,-110,11
10780,358,20,-4281,108,-118,14
10791,375,26,-4271,108,-128,12
10801,350,24,-4280,109,-142,10
10811,374,48,-4277,104,-156,8
10821,364,62,-4273,101,-162,6
10830,364,32,-4300,103,-160,6
10840,343,29,-4308,101,-147,2
10850,362,19,-4303,89,-135,-1
10860,344,26,-4294,73,-125,-1
10871,345,19,-4317,61,-112,-5
10881,340,17,-4347,42,-98,-7
10891,353,20,-4307,25,-83,-9
10901,349,31,-4296,12,-66,-13
10909,361,41,-4316,12,-48,-14
10920,343,21,-4328,13,-33,-17
10930,356,42,-4285,21,-17,-16
10940,331,31,-4285,23,-12,-11
10950,360,41,-4303,32,-11,-15
10961,330,38,-4287,34,-10,-14
10971,341,43,-4266,37,-10,-15
10981,344,14,-4274,41,-8,-12
10989,336,30,-4304,47,-3,-13
11000,354,17,-4297,49,4,-14
11010,344,9,-4309,44,8,-14
11020,332,19,-4291,41,13,-18
11030,360,33,-4288,40,13,-16
11041,328,33,-4282,39,15,-17
11051,337,26,-4297,37,16,-20
11061,337,47,-4297,37,19,-21
11069,332,36,-4292,37,27,-25
11079,377,29,-4332,36,30,-24
11090,337,21,-4313,42,31,-22
11100,347,36,-4286,44,39,-23
11110,326,34,-4323,47,43,-24
11120,336,24,-4335,53,63,-25
11131,349,24,-4303,40,87,-27
11139,354,30,-4278,22,105,-32
11149,359,5,-4316,2,115,-34
11159,362,40,-4289,-3,122,-33
11170,358,41,-4295,4,122,-31
11180,362,62,-4297,14,122,-33
11190,362,46,-4324,29,136,-25
11200,376,31,-4325,41,157,-28
11208,383,36,-4358,41,199,-29
11219,390,40,-4361,39,259,-33
11229,386,45,-4353,34,321,-36
11239,383,21,-4317,29,390,-56
11249,363,-66,-4262,24,426,-90
11260,426,-137,-4213,21,412,-150
11270,431,-93,-4158,48,359,-249
11278,422,-65,-4181,68,291,-341
11288,443,-44,-4244,81,226,-421
11299,441,-28,-4273,91,182,-487
11309,441,-56,-4302,91,178,-525
11319,445,-71,-4353,101,198,-576
11329,456,-55,-4435,118,251,-640
11340,475,-4,-4460,116,350,-680
11350,484,-36,-4442,110,475,-694
11360,472,-73,-4421,121,598,-725
11368,465,-76,-4434,141,703,-785
11378,511,-87,-4413,159,795,-840
11389,527,-72,-4365,182,880,-891
11399,533,1,-4398,202,948,-943
11409,585,51,-4431,211,1014,-952
11419,590,75,-4471,227,1068,-939
11430,613,52,-4541,238,1163,-898
11440,636,45,-4541,253,1309,-859
11448,674,-48,-4551,272,1474,-832
11458,721,-121,-4473,297,1638,-835
11469,702,-173,-4440,320,1784,-864
11479,735,-214,-4431,334,1892,-927
11489,740,-118,-4481,312,1943,-999
11499,797,182,-4600,126,1945,-1031
11510,879,121,-4388,-219,1950,-952
11520,893,43,-4260,-309,1948,-889
11528,906,140,-4229,-217,1942,-887
11538,949,144,-4280,-212,1927,-866
11548,991,123,-4309,-267,1910,-832
11559,1012,78,-4245,-313,1895,-805
11569,976,644,-4285,-327,1868,-804
11579,864,-115,-4366,-675,1848,-659
11589,762,-504,-3721,-604,1808,-646
11600,671,-21,-4038,94,1678,-861
11608,387,227,-4298,353,1562,-926
11618,162,76,-4305,228,1385,-773
11628,41,37,-4280,162,1119,-492
11639,31,180,-4377,130,795,-156
11649,63,93,-4200,-6,454,168
11659,208,136,-4079,-58,157,355
11669,383,215,-3966,-54,-36,380
11680,419,241,-3933,-63,-147,297
11688,497,406,-4012,-50,-248,207
11698,535,325,-4022,-101,-354,189
11708,589,150,-3912,-53,-453,194
11718,654,396,-4095,103,-525,150
11729,710,386,-4144,37,-561,155
11739,769,179,-4023,-58,-592,193
11749,869,205,-3996,-26,-625,211
11757,892,126,-3955,-8,-624,225
11768,891,114,-4056,19,-626,227
11778,878,75,-4122,11,-673,236
11788,887,-69,-4180,-23,-777,231
11798,913,-126,-4098,-3,-942,184
11809,1009,-195,-4083,36,-1074,82
11819,1030,-290,-4038,90,-1126,-69
11827,1030,-383,-4019,169,-1127,-254
11837,1008,-262,-4047,318,-1122,-423
